pH,Temperature,Fat_Content,SNF,Titratable_Acidity,Protein_Content,Lactose_Content,TPC,SCC,Quality
6.5,34.5,3.5,8.3,0.13,3.1,4.8,5000,200000,High
6.7,35.2,3.8,8.7,0.14,3.3,5.0,3000,180000,High
6.3,36.0,3.2,8.1,0.16,2.9,4.6,7000,250000,Low
6.8,34.8,4.0,9.0,0.12,3.5,5.2,2500,170000,High
7.0,35.5,3.9,8.9,0.11,3.4,5.1,2000,160000,High
6.1,36.2,3.0,7.8,0.18,2.8,4.4,8000,300000,Low
6.4,35.0,3.3,8.0,0.17,3.0,4.7,6500,280000,Low
6.6,34.9,3.6,8.5,0.14,3.2,4.9,4000,190000,High
7.1,36.5,4.2,9.2,0.1,3.6,5.3,1500,150000,High
6.2,36.1,3.1,7.9,0.19,2.7,4.5,9000,320000,Low
